
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010848                       # Number of seconds simulated (Second)
simTicks                                  10847614000                       # Number of ticks simulated (Tick)
finalTick                                 10847614000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     52.42                       # Real time elapsed on the host (Second)
hostTickRate                                206932888                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16955240                       # Number of bytes of host memory used (Byte)
simInsts                                     21109962                       # Number of instructions simulated (Count)
simOps                                       21142757                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   402700                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     403326                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         10847615                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.513862                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.946046                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        22191786                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   168442                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       22172601                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1550                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1217470                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            412281                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               37186                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            10817884                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.049625                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.090971                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3184804     29.44%     29.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2599625     24.03%     53.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1261338     11.66%     65.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1360283     12.57%     77.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    566529      5.24%     82.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    931970      8.62%     91.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    475801      4.40%     95.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    325523      3.01%     98.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    101220      0.94%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                      7914      0.07%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                     2615      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                      262      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                11                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              10817884                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    6166      2.82%      2.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     13      0.01%      2.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.83% # attempts to use FU when none available (Count)
