
---------- Begin Simulation Statistics ----------
simSeconds                                   0.025096                       # Number of seconds simulated (Second)
simTicks                                  25096132000                       # Number of ticks simulated (Tick)
finalTick                                 25096132000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     51.46                       # Real time elapsed on the host (Second)
hostTickRate                                487655991                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16944248                       # Number of bytes of host memory used (Byte)
simInsts                                     27971529                       # Number of instructions simulated (Count)
simOps                                       27971566                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   543528                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     543529                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         25096134                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.897203                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.114575                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        28016738                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      990                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       28005302                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    533                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                46161                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             25399                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 216                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            25079638                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.116655                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.860131                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  15995012     63.78%     63.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2419469      9.65%     73.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1991329      7.94%     81.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    999964      3.99%     85.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1512852      6.03%     91.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    910905      3.63%     95.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    866508      3.46%     98.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    270490      1.08%     99.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    113109      0.45%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              25079638                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     752      0.08%      0.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                    173      0.02%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      70      0.01%      0.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                189925     20.56%     20.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                 23332      2.53%     23.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     23.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               255243     27.63%     50.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc            252729     27.36%     78.19% # attempts to use FU when none available (Count)
