
---------- Begin Simulation Statistics ----------
simSeconds                                   0.324257                       # Number of seconds simulated (Second)
simTicks                                 324256576000                       # Number of ticks simulated (Tick)
finalTick                                324256576000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    583.58                       # Real time elapsed on the host (Second)
hostTickRate                                555637820                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16944248                       # Number of bytes of host memory used (Byte)
simInsts                                    278848675                       # Number of instructions simulated (Count)
simOps                                      278848712                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   477828                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     477828                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        324256578                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.162841                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.859963                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       278896115                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      994                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      278883392                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    443                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                48396                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             27721                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 242                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           324240400                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.860113                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.726944                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 236692516     73.00%     73.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  23948234      7.39%     80.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  16021524      4.94%     85.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10010017      3.09%     88.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  12202941      3.76%     92.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  12124674      3.74%     95.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  10219943      3.15%     99.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2057141      0.63%     99.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    963410      0.30%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             324240400                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     726      0.01%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                    233      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      80      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd               1504111     16.44%     16.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                 29272      0.32%     16.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     16.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult              2738124     29.92%     46.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc           2732414     29.86%     76.54% # attempts to use FU when none available (Count)
